,hash,model_identifier,framework,framework_version,elapsed_time,train_accuracy,train_loss,val_accuracy,val_loss,accelerator,accelerator_version,accelerator_type,cpu_model,train_dataset_name,epochs,batch_size,configs,train_split,val_split,test_split,train_slice,val_slice,test_slice,test_accuracy
0,2076635211270705557,facebook/deit-tiny-patch16-224,HuggingFace,4.19.2,103.6915274169296,0.22499999403953552,1.7644650752727802,0.22499999403953552,1.7644650752727802,,11.2,GPU,,dmlab,25,64,{'lr': 0.1},train,train,test,:800,800:1000,:100%,0.22147120535373688
1,-8870765052217615123,facebook/deit-small-patch16-224,HuggingFace,4.19.2,110.90790832415223,0.17999999225139618,5101652.980769231,0.17999999225139618,5101652.980769231,,11.2,GPU,,dmlab,25,64,{'lr': 0.1},train,train,test,:800,800:1000,:100%,0.1831987351179123
2,-5988330831405360567,facebook/deit-tiny-patch16-224,HuggingFace,4.19.2,94.73166716378182,0.22999998927116394,2.2294978545262265,0.22999998927116394,2.2294978545262265,,11.2,GPU,,svhn_cropped,25,64,{'lr': 0.1},train,train,test,:800,800:1000,:100%,0.19575399160385132
3,3878463528659010784,facebook/deit-tiny-distilled-patch16-224,HuggingFace,4.19.2,55.05594829749316,0.22999998927116394,2.230095331485455,0.22999998927116394,2.230095331485455,,11.2,GPU,,svhn_cropped,25,64,{'lr': 0.1},train,train,test,:800,800:1000,:100%,0.19575399160385132
4,-479751422058806151,hf-internal-testing/tiny-random-vit,HuggingFace,4.19.2,39.01469616033137,0.0,4.616430062514085,0.0,4.616430062514085,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.003221649443730712
5,3448720527539945210,nvidia/mit-b0,HuggingFace,4.19.2,89.44125054869801,0.0,4.617233386406531,0.0,4.617233386406531,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.011436855420470238
6,-7533793560885536427,facebook/deit-small-distilled-patch16-224,HuggingFace,4.19.2,119.74256681650877,0.7849999666213989,0.011938301774744805,0.7849999666213989,0.011938301774744805,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.7883375883102417
7,-5574277005403492677,facebook/deit-small-patch16-224,HuggingFace,4.19.2,122.13809576630592,0.7299999594688416,0.013993336460911311,0.7299999594688416,0.013993336460911311,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.7719072103500366
8,4567269054023136520,microsoft/swin-tiny-patch4-window7-224,HuggingFace,4.19.2,145.2563252421096,0.7299999594688416,0.029390423630292598,0.7299999594688416,0.029390423630292598,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.719072163105011
9,-2627040535742170310,flyswot/convnext-tiny-224_flyswot,HuggingFace,4.19.2,161.22392053995281,0.6150000095367432,0.932998776435852,0.6150000095367432,0.932998776435852,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.6303157210350037
10,-4713659235768604818,facebook/deit-tiny-patch16-224,HuggingFace,4.19.2,91.77137925289571,0.625,0.011365885917957012,0.625,0.011365885917957012,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.6651095151901245
11,1014100966877304720,WinKawaks/vit-tiny-patch16-224,HuggingFace,4.19.2,90.84608326107264,0.08999999612569809,2.694227567085853,0.08999999612569809,2.694227567085853,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.12596648931503296
12,-4815136675583320645,facebook/convnext-tiny-224,HuggingFace,4.19.2,170.0644855387509,0.6349999904632568,1.1307277404345,0.6349999904632568,1.1307277404345,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.6680089831352234
13,-6829423902545502335,lysandre/tiny-vit-random,HuggingFace,4.19.2,82.44411101698643,0.0,4.614850154289832,0.0,4.614850154289832,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.003221649443730712
14,8776275426944346383,facebook/deit-tiny-distilled-patch16-224,HuggingFace,4.19.2,93.20861175097525,0.7199999690055847,0.009439875443394367,0.7199999690055847,0.009439875443394367,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.722132682800293
15,8392235800383514642,WinKawaks/vit-small-patch16-224,HuggingFace,4.19.2,120.05504299799213,0.9449999928474426,0.00102797597915364,0.9449999928474426,0.00102797597915364,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.954574704170227
16,-5357679043138493771,microsoft/swin-small-patch4-window7-224,HuggingFace,4.19.2,246.4916365062818,0.7549999952316284,0.006726791318506002,0.7549999952316284,0.006726791318506002,,11.2,GPU,,oxford_flowers102,25,32,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.7618199586868286
17,1694676326731981251,google/vit-base-patch32-384,HuggingFace,4.19.2,251.00371731072664,0.98499995470047,0.010780411772429943,0.98499995470047,0.010780411772429943,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.9788981676101685
18,4716479031945763571,plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,HuggingFace,4.19.2,167.6289234580472,0.7149999737739563,0.02647708936666067,0.7149999737739563,0.02647708936666067,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.704574704170227
19,-4502070491696690885,microsoft/beit-base-patch16-224-pt22k-ft22k,HuggingFace,4.19.2,283.160919142887,0.02499999850988388,3.955814027786255,0.02499999850988388,3.955814027786255,,11.2,GPU,,oxford_flowers102,25,32,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.04760362580418587
20,-6260765919587185046,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,HuggingFace,4.19.2,163.68424901994877,0.004999999888241291,4.4536782044630785,0.004999999888241291,4.4536782044630785,,11.2,GPU,,oxford_flowers102,25,64,{'lr': 0.01},train,train,test,:800,800:1000,:100%,0.017235824838280678
