model_identifier,image_size,lr,epochs,momentum,nesterov,source,batch_size
facebook/deit-base-distilled-patch16-224,224,0.01,25,0.9,True,HFImage,32
google/vit-base-patch16-224,224,0.01,25,0.9,True,HFImage,64
hf-internal-testing/tiny-random-vit,30,0.01,25,0.9,True,HFImage,64
microsoft/beit-base-patch16-224-pt22k-ft22k,224,0.01,25,0.9,True,HFImage,32
microsoft/swin-tiny-patch4-window7-224,224,0.01,25,0.9,True,HFImage,64
facebook/deit-small-distilled-patch16-224,224,0.01,25,0.9,True,HFImage,64
facebook/deit-base-patch16-224,224,0.01,25,0.9,True,HFImage,64
microsoft/dit-large-finetuned-rvlcdip,224,0.01,25,0.9,True,HFImage,16
nvidia/mit-b0,224,0.01,25,0.9,True,HFImage,64
microsoft/swin-base-patch4-window7-224,224,0.01,25,0.9,True,HFImage,32
microsoft/swin-small-patch4-window7-224,224,0.01,25,0.9,True,HFImage,32
microsoft/swin-large-patch4-window7-224,224,0.01,25,0.9,True,HFImage,16
microsoft/beit-base-patch16-224,224,0.01,25,0.9,True,HFImage,32
google/vit-base-patch16-384,384,0.01,25,0.9,True,HFImage,8
google/vit-base-patch32-384,384,0.01,25,0.9,True,HFImage,64
microsoft/beit-base-patch16-224-pt22k,224,0.01,25,0.9,True,HFImage,32
facebook/data2vec-vision-base,224,0.01,25,0.9,True,HFImage,32
microsoft/dit-base-finetuned-rvlcdip,224,0.01,25,0.9,True,HFImage,32
flyswot/convnext-tiny-224_flyswot,224,0.01,25,0.9,True,HFImage,64
deepmind/vision-perceiver-conv,56,0.01,25,0.9,True,HFImage,16
facebook/convnext-tiny-224,224,0.01,25,0.9,True,HFImage,64
facebook/deit-small-patch16-224,224,0.01,25,0.9,True,HFImage,64
nvidia/mit-b3,224,0.01,25,0.9,True,HFImage,32
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,224,0.01,25,0.9,True,HFImage,64
facebook/deit-tiny-patch16-224,224,0.01,25,0.9,True,HFImage,64
